s_id,experiment,session,trial,scan_id,1st Image,1st Stimulus,2nd Image,2nd Stimulus,Condition,First Jitter,Fixation Jitter
666,symbolic,1,1,?,stimuli\circle__1_6_equalto_6_area_S1.png,6,stimuli\circle__1_6_equalto_6_area_S2.png,6,same,4.6,5.0
666,symbolic,1,2,?,,9,,9,same,5.2,2.3
666,symbolic,1,3,?,stimuli\circle__1_8_lessthn_1_perimeter_S1.png,8,stimuli\circle__1_8_lessthn_1_perimeter_S2.png,1,less,4.2,7.0
666,symbolic,1,4,?,,1,,2,greater,5.1,8.1
666,symbolic,1,5,?,,4,,0,less,2.1,6.2
666,symbolic,1,6,?,stimuli\circle__1_3_greater_4_area_S1.png,3,stimuli\circle__1_3_greater_4_area_S2.png,4,greater,3.6,3.5
666,symbolic,1,7,?,,5,,5,same,4.3,4.8
666,symbolic,1,8,?,stimuli\circle__1_7_equalto_7_perimeter_S1.png,7,stimuli\circle__1_7_equalto_7_perimeter_S2.png,7,same,2.3,8.2
666,symbolic,1,9,?,stimuli\circle__1_2_lessthn_1_perimeter_S1.png,2,stimuli\circle__1_2_lessthn_1_perimeter_S2.png,1,less,2.2,5.6
666,symbolic,1,10,?,,1,,1,same,2.9,6.1
666,symbolic,1,11,?,stimuli\circle__1_6_equalto_6_area_S2.png,6,stimuli\circle__1_6_equalto_6_area_S2.png,6,same,3.7,6.3
666,symbolic,1,12,?,,4,,5,greater,2.5,6.4
666,symbolic,1,13,?,,2,,1,less,3.1,5.7
666,symbolic,1,14,?,stimuli\circle__1_7_greater_8_perimeter_S1.png,7,stimuli\circle__1_7_greater_8_perimeter_S2.png,8,greater,3.2,3.6
666,symbolic,1,15,?,,8,,8,same,1.9,2.2
666,symbolic,1,16,?,stimuli\circle__1_9_equalto_9_area_S1.png,9,stimuli\circle__1_9_equalto_9_area_S2.png,9,same,4.4,3.0
666,symbolic,1,17,?,,3,,5,greater,4.9,3.4
666,symbolic,1,18,?,stimuli\circle__1_5_equalto_5_area_S1.png,5,stimuli\circle__1_5_equalto_5_area_S2.png,5,same,3.4,2.4
666,symbolic,1,19,?,,3,,1,less,3.3,6.5
666,symbolic,1,20,?,stimuli\circle__1_6_equalto_6_perimeter_S1.png,6,stimuli\circle__1_6_equalto_6_perimeter_S2.png,6,same,5.4,4.1
666,symbolic,1,21,?,stimuli\circle__1_7_lessthn_1_perimeter_S1.png,7,stimuli\circle__1_7_lessthn_1_perimeter_S2.png,1,less,5.3,4.4
666,symbolic,1,22,?,,4,,5,greater,2.0,4.3
666,symbolic,1,23,?,,2,,2,same,2.4,2.1
666,symbolic,1,24,?,stimuli\circle__1_8_equalto_8_area_S1.png,8,stimuli\circle__1_8_equalto_8_area_S2.png,8,same,1.8,3.7
666,symbolic,1,25,?,stimuli\circle__1_5_equalto_5_area_S2.png,5,stimuli\circle__1_5_equalto_5_area_S2.png,5,same,1.7,2.7
666,symbolic,1,26,?,,9,,9,same,3.0,7.6
666,symbolic,1,27,?,stimuli\circle__1_1_greater_2_perimeter_S1.png,1,stimuli\circle__1_1_greater_2_perimeter_S2.png,2,greater,3.9,6.6
666,symbolic,1,28,?,,7,,1,less,4.8,8.4
666,symbolic,1,29,?,stimuli\circle__1_8_equalto_8_area_S2.png,8,stimuli\circle__1_8_equalto_8_area_S2.png,8,same,5.0,7.9
666,symbolic,1,30,?,,3,,2,less,2.8,3.8
666,symbolic,1,31,?,,2,,2,same,5.5,5.9
666,symbolic,1,32,?,stimuli\circle__1_5_greater_6_perimeter_S1.png,5,stimuli\circle__1_5_greater_6_perimeter_S2.png,6,greater,1.5,4.9
666,symbolic,1,33,?,stimuli\circle__1_9_equalto_9_perimeter_S1.png,9,stimuli\circle__1_9_equalto_9_perimeter_S2.png,9,same,1.6,3.3
666,symbolic,1,34,?,,4,,2,less,4.0,5.2
666,symbolic,1,35,?,,6,,6,same,3.5,7.3
666,symbolic,1,36,?,stimuli\circle__1_1_greater_2_area_S1.png,1,stimuli\circle__1_1_greater_2_area_S2.png,2,greater,2.7,2.9
